"scenario_id","mode","cefr","title","npc_role","setting","user_turns","npc_lines","model_answers","turkish_hints","naturalness_1_5","grammar_ok","cultural_fit_ok","reviewer_notes"
"bar.approach.24.18","bar","A2","Trivia Night — Takima Katil","Trivia team member","Bar trivia night","3","Hey — you here for trivia? Need a team? || Yeah, we need one more. We're a bit rusty on history — you good at that? || Cool. I'm Mike, this is Sarah and Tom. What's your name?","Yeah, looking for a team — could I join? || Yeah, pretty good at history || I'm [your name], nice to meet you","Katil: 'Yeah, looking for a team — could I join?' || Kuvvet alani: 'Yeah, pretty good at history' veya 'Better at geography'. || Tanit: 'I'm [your name], nice to meet you'.","","","",""
"bar.approach.24.13","bar","B1","Numara Almak — No Pressure","New friend","Bar, end of conversation, decent connection","3","Wow, time flies. I should probably get back to my friends. || Yeah, I'd like that. What's your number? || Got it. Text me whenever, no pressure. || Sounds great. Have a good night!","This was fun — wanna swap numbers? || Let me text you — that way you have it || Same here — maybe grab a coffee sometime","Köprü: 'This was fun — wanna swap numbers?' || Paylaş: 'Let me text you — that way you have it'. || Aynı tonu yansıt: 'Same here — maybe grab a coffee sometime'.","","","",""
"bar.approach.24.36","bar","B2","Naturel Sarap Tartismasi","Natural wine enthusiast","Trendy wine bar","3","You into natural wine? This pet-nat is wild. || Fair point. What turns you off? || That's a totally valid critique. Want to try one that might convert you? || This Slovenian skin-contact white — looks orange, tastes like honeyed apricot.","It's polarizing — I can see both sides || I prefer wines where you can taste the grape || I'm open to being convinced","B2: 'It's polarizing — I can see both sides'. || B2: 'I prefer wines where you can taste the grape'. || B2 stance: 'I'm open to being convinced'.","","","",""
"bar.approach.24.44","bar","C2","Speakeasy — Tarihi Kokteyl Sohbeti","Speakeasy mixologist","Hidden speakeasy bar","3","First time here? What draws you in? || You're our kind of guest. What's your gateway cocktail to that era? || Jerry Thomas — circa 1862, give or take. Let me make you something he'd recognize. || Genever, not London Dry. Old Tom if I had it. Real Boker's bitters. Stirred, never shaken.","Modern bars have lost the thread — I wanted to taste the original spirit || I fell down the rabbit hole through the Jerry Thomas recipes || Spare no detail — consider me a captive audience","C1: 'Modern bars have lost the thread — I wanted to taste the original spirit'. || C1: 'I fell down the rabbit hole through the Jerry Thomas recipes'. || C1: 'Spare no detail — consider me a captive audience'.","","","",""
"career.b1.cvsummary.1","career","B1","CV/Resume — Özet Bölümü","Career coach","CV review session (video call)","3","Let's draft your summary together. In one sentence, how would you describe yourself professionally? || Good start. Now — what are two or three things you're skilled in? Be specific. || Perfect. Last piece — one accomplishment you'd put in this summary? || Great — that's a solid three-sentence summary. Recruiters will read this in five seconds.","Results-driven backend engineer with three years of experience in fintech. || Skilled in Python, payment systems, and API design. || Have built a payment service handling 10M requests per day.","Formül: 'sıfat + rol + N years of experience in X.' Örnek: 'Results-driven backend engineer with three years of experience in fintech.' || 'Skilled in X, Y, and Z.' İki-üç somut yetenek. 'Skilled in Python, payment systems, and API design.' || Somut başarı + present perfect: 'Have built a payment service handling 10M requests per day.' Sayı ekle.","","","",""
"career.b2.delegation.1","career","B2","Etkili Delegasyon — Net Sahiplik","Mid-level Engineer","1:1 delegation handoff","3","Yeah, happy to take it on. What does it look like? || Okay. How much should I check in with you?","Thanks for jumping in — want to put the migration on you. Think you're ready. || You're the DRI. Outcome I need: working migration by EOM. || Weekly 15 min sync + async status doc. Loop me in on infra cost or security.","Sicak baslangic: 'Thanks for jumping in — want to put the migration on you. Think you're ready.' || Outcome ver: 'You're the DRI. Outcome I need: working migration by EOM.' || Kadans + escalation: 'Weekly 15 min sync + async status doc. Loop me in on infra cost or security.'","","","",""
"daily.survival.a1.11","daily","A1","İhtiyaç — Bathroom, Wifi, Help","Café server","Café","3","Yes, how can I help? || It's in the back, on the left. || Sure, it's 'cafe2026' — all lowercase.","Excuse me || Where is the bathroom? || Thanks. And the wifi password, please?","'Excuse me' ile başla. || 'Where is the bathroom?' veya 'Restroom, please?' || Teşekkür et + wifi sor: 'Thanks. And the wifi password, please?'","","","",""
"daily.a2.family.1","daily","A2","Aile — basit anlatım","New acquaintance","Casual social conversation","3","Tell me about your family. Do you have any siblings? || Nice. Are they older or younger than you? || Where do they live?","Yes, I have two brothers || My sister is older than me || We all live in Istanbul","'Yes, I have two brothers' veya 'I have one sister'. || 'My sister is older than me' veya 'They are both younger'. || 'We all live in Istanbul' veya 'My brother lives in Ankara'.","","","",""
"daily.bank.30.3","daily","B1","Para Gönderme / Havale","Bank teller","Wire transfer desk","3","Hello! How can I help you today? || Sure. I'll need the recipient's full name, bank, and IBAN. || Got it. The amount and currency? And purpose of the transfer? || Perfect. The transfer fee is forty dollars. Funds will arrive in two to three business days.","Hi, I'd like to send a wire transfer to Turkey. || Recipient's name is Ali Yilmaz, exactly as on his passport. IBAN is TR... || Five hundred USD — family support.","Net: 'Hi, I'd like to send a wire transfer to Turkey.' || Detayları ver: 'Recipient's name is Ali Yilmaz, exactly as on his passport. IBAN is TR...' || Miktar + para birimi + amaç: 'Five hundred USD — family support.'","","","",""
"flirt.deep.11","flirt","A2","Sesli Mesaj Degisimi — Kirilgan Paylasim","Partner","WhatsApp voice notes, evening","3","(voice note) Okay this is gonna sound dramatic but — I've been having a hard time at work lately and I just needed to tell someone who isn't my therapist. || (voice note) Honestly just having you listen helps. I feel like I'm dropping the ball on everything. || (voice note) Sorry — I always feel weird dumping this. Tell me something. How was your day? || (voice note) Please. Go.","Not dramatic at all. Do you want to talk about it or just vent? || Burnout feels exactly like that. I hear you. || Don't apologize. Since we're opening up — can I be honest with you?","Onay + alan: 'Not dramatic at all. Do you want to talk about it or just vent?' || Karsila + dogrulama: 'Burnout feels exactly like that. I hear you.' || Karsi paylasim: 'Don't apologize. Since we're opening up — can I be honest with you?'","","","",""
"flirt.banter.2.3","flirt","B1","Derin Sorular","Match","Deepening conversation","2","Haha okay, deep question? My most irrational fear is honestly butterflies. Can't explain why.","Can I ask something a little personal? || Butterflies?? Tell me the origin story.","İzinle başla: 'Can I ask something a little personal?' veya direkt 'What's your most irrational fear?' || Reaksiyon + soru: 'Butterflies?? Tell me the origin story.'","","","",""
"ielts.p1.3","ielts","B1","Part 1 — Daily Routine","IELTS Examiner","Formal exam room","3","Can you describe a typical day for you? || What time of day is best for you and why? || Has your daily routine changed recently?","On a typical day, I get up around seven and have breakfast || I'm most productive in the morning because my mind is fresh || Yes, since I started working from home, my routine has shifted","Saat + aktivite: 'On a typical day, I get up around seven and have breakfast'. 'I am usually waking up' YANLIŞ → 'I usually wake up'. || Tercih + neden: 'I'm most productive in the morning because my mind is fresh'. || Değişim: 'Yes, since I started working from home, my routine has shifted' veya 'Not really, it's pretty much the same'.","","","",""
"ielts.p2.1","ielts","B2","Part 2 — Describe a person who influenced you","IELTS Examiner","Formal exam room","3","I'd like you to describe a person who has influenced you. You'll have one minute to prepare, and then I'd like you to talk for one to two minutes. Please describe who they are, how you know them, and how they have influenced you. || Thank you. Can you tell me one specific moment that stands out? || Would you say their influence continues today?","The person I'd like to talk about is my grandmother. I've known her my whole life — she practically raised me when my parents worked. What's most memorable is her patience... || I remember once, after I failed my math exam, she sat me down and said... that stuck with me || Absolutely — whenever I face a tough decision, I catch myself asking what they would do","Yapı: 1) Kim 2) Nasıl tanıdın 3) Etkisi. Örnek başlangıç: 'The person I'd like to talk about is my grandmother. I've known her my whole life — she practically raised me when my parents worked. What's most memorable is her patience...'. Türk öğrenci kısa cevap verme tuzağına düşer; en az 5-6 cümle konuş. || Spesifik anı + alıntı: 'I remember once, after I failed my math exam, she sat me down and said... that stuck with me'. || Süreklilik: 'Absolutely — whenever I face a tough decision, I catch myself asking what they would do'.","","","",""
"ielts.p3.2","ielts","C1","Part 3 — Modern Travel & Tourism","IELTS Examiner","Formal exam room","3","Has tourism changed for the better in recent decades? || Should there be limits on tourist numbers? || Do you think online reviews have changed how we travel?","In some ways yes — it's more accessible. But overtourism has made certain cities almost unlivable for locals || In sensitive cases like Venice, daily caps are essential — otherwise the city's fabric continues to degrade || Massively — but ironically, they've homogenized travel. Everyone goes to the same top-10 list","Balanced: 'In some ways yes — it's more accessible. But overtourism has made certain cities almost unlivable for locals'. || Spesifik örnek: 'In sensitive cases like Venice, daily caps are essential — otherwise the city's fabric continues to degrade'. || Etki: 'Massively — but ironically, they've homogenized travel. Everyone goes to the same top-10 list'.","","","",""
"ielts.p3.5","ielts","C2","Part 3 — Globalization & Cultural Identity","IELTS Examiner","Formal exam room","3","We've been discussing travel. Now I'd like to ask some broader questions. To what extent has globalization affected your country's culture? || Some people argue that cultural homogenization is inevitable. What's your view? || What are the implications of economic migration on host countries?","To a large extent, yes — on the one hand, global brands are everywhere, but it could be said that local traditions still hold strong in places like the family kitchen. || Arguably, some homogenization is inevitable — global media reaches everyone. However, cultures often push back; we're seeing renewed interest in local crafts and languages. || The implications are multifaceted. Economically, migration often fills labour gaps and boosts the tax base. Culturally, however, integration can create tensions if not managed thoughtfully.","Concession opener: 'To a large extent, yes — on the one hand, global brands are everywhere, but it could be said that local traditions still hold strong in places like the family kitchen.' || Hedged stance: 'Arguably, some homogenization is inevitable — global media reaches everyone. However, cultures often push back; we're seeing renewed interest in local crafts and languages.' || Multi-angle answer: 'The implications are multifaceted. Economically, migration often fills labour gaps and boosts the tax base. Culturally, however, integration can create tensions if not managed thoughtfully.'","","","",""
"order.bar.7.11","order","A2","Last Call — Son Sipariş","Bartender","Late-night bar, 1 AM, closing soon","3","Last call, folks! Anyone want one more? || You got it. Same as before? || Cool. What time do you need to be out by? || We close at two. So you've got like twenty minutes.","One for the road, please || Same, please || What time do you close?","Son içki: 'Yeah, one more' veya 'One for the road, please'. Bitir: 'I'm good, thanks'. || Aynı: 'Same, please' veya değişiklik: 'Switch to a whiskey this time'. || Saat sor: 'What time do you close?' veya 'I'll head out in fifteen'.","","","",""
"order.bar.7.35","order","B1","Sarap Bari — Kadeh mi Sise mi","Wine bar server","Wine bar, two guests","3","Hi, looking at the wine list? || If you're both having two, the bottle's usually better value. What kind do you like? || Got it. There's a Spanish Garnacha — fruity, easy-drinking, thirty-two for the bottle. || Of course — small taste, on me. Then you decide.","We're deciding between glasses and a bottle || We usually go for medium-bodied reds || Could we try a glass first?","B1: 'We're deciding between glasses and a bottle'. || B1: 'We usually go for medium-bodied reds'. || B1: 'Could we try a glass first?' veya 'Let's do the bottle'.","","","",""
